animalName,species,gender,age,photoLink,children,energy,likesOutdoors,hypoallergenic,histAgression,houseTrained,trained,bio
Leilah,dog,F,3,,true,medium,false,true,true,true,true,seize robust markets
Inge,cat,F,8,,false,high,false,true,false,true,true,productize real-time mindshare
Gris,dog,M,1,,false,medium,true,true,true,true,false,synergize world-class platforms
Johnathon,cat,M,10,,true,low,false,true,true,false,false,optimize B2C synergies
Hermy,dog,M,3,,true,low,true,true,false,false,false,streamline intuitive platforms
Lishe,cat,F,3,,false,high,true,false,false,true,true,enhance collaborative experiences
Latashia,cat,F,6,,true,medium,true,false,false,false,true,strategize extensible communities
Kelly,cat,M,7,,false,medium,true,false,true,false,false,utilize seamless solutions
Duky,dog,M,1,,true,low,true,true,false,true,false,synthesize impactful metrics
Nada,cat,F,7,,true,low,false,false,true,true,false,generate next-generation web services
Lily,dog,F,9,,false,low,false,true,false,false,true,reintermediate 24/365 web services
Dov,dog,M,8,,false,high,true,false,true,true,true,transition leading-edge niches
Demetris,cat,M,6,,true,medium,false,false,true,false,true,optimize magnetic web-readiness
Barry,cat,F,5,,true,high,true,false,true,true,false,aggregate synergistic architectures
Orion,dog,M,6,,true,medium,true,true,false,true,true,benchmark distributed web-readiness
Evey,dog,F,7,,false,medium,true,true,true,true,false,incentivize front-end infrastructures
Rosemarie,cat,F,8,,false,medium,false,true,false,false,true,transition next-generation interfaces
Gardner,cat,M,13,,true,medium,false,true,true,true,true,productize back-end content
Aylmer,cat,M,13,,true,medium,true,true,true,true,false,incubate compelling technologies
Gratia,cat,F,4,,true,low,false,false,true,true,true,strategize intuitive systems
Baillie,cat,M,1,,false,high,true,false,false,false,false,reinvent plug-and-play bandwidth
Hilary,cat,M,1,,false,low,true,true,true,true,false,incubate end-to-end methodologies
Bonnee,cat,F,5,,false,high,true,false,true,true,false,utilize customized schemas
Renaldo,cat,M,6,,true,low,false,false,false,true,true,recontextualize distributed schemas
Ulysses,dog,M,4,,false,low,true,true,false,false,false,integrate innovative action-items
Jerry,cat,F,3,,true,high,true,false,false,false,false,synthesize impactful bandwidth
Collete,cat,F,1,,false,medium,true,true,false,true,false,mesh scalable methodologies
Kim,cat,F,12,,true,low,true,true,true,false,true,evolve global users
Amalie,dog,F,13,,true,low,true,true,false,false,true,deploy customized solutions
Kale,cat,M,13,,true,low,true,false,false,true,true,engage rich action-items
Catherine,cat,F,9,,true,medium,false,true,false,false,true,grow virtual communities
Lilyan,cat,F,10,,false,high,false,false,true,true,true,deploy front-end applications
Aldin,cat,M,7,,false,high,false,true,true,false,true,recontextualize collaborative content
Holmes,dog,M,6,,false,low,false,true,true,true,true,exploit global infomediaries
Claire,dog,M,11,,false,low,false,false,false,false,true,synergize vertical e-tailers
Aarika,cat,F,4,,false,high,false,false,true,true,true,recontextualize magnetic systems
Anette,dog,F,4,,false,low,false,false,true,false,true,evolve sexy synergies
Imogen,dog,F,4,,true,medium,false,false,true,false,true,transform dot-com architectures
Julina,dog,F,1,,false,high,false,true,false,false,false,synergize efficient architectures
Christina,cat,F,3,,true,high,true,false,true,false,false,deliver synergistic platforms
Fairfax,dog,M,4,,false,medium,true,true,false,true,false,recontextualize extensible supply-chains
Gay,cat,F,6,,false,low,false,true,true,true,true,synthesize dynamic relationships
Luise,cat,F,6,,true,medium,true,true,true,false,true,deliver wireless paradigms
Gustavus,dog,M,3,,true,high,true,false,false,false,false,productize extensible convergence
Ivy,dog,F,4,,true,high,true,true,true,true,true,morph open-source e-commerce
Gennie,cat,F,9,,true,high,true,false,false,false,false,synergize intuitive infomediaries
Julita,cat,F,3,,false,high,false,false,true,false,true,synergize end-to-end metrics
Sukey,dog,F,2,,false,high,true,false,true,false,false,generate world-class ROI
Cazzie,dog,M,1,,false,low,true,true,false,true,true,maximize next-generation communities
Myrilla,cat,F,6,,false,low,true,false,true,false,false,drive transparent initiatives
Kin,dog,M,1,,true,low,true,false,true,true,true,implement cross-media convergence
Abdel,dog,M,10,,true,high,true,false,false,false,true,mesh bricks-and-clicks web services
Gennifer,cat,F,8,,false,medium,false,true,true,true,false,maximize bleeding-edge initiatives
Coleman,dog,M,3,,true,high,true,true,false,false,true,transition 24/7 users
Ilyse,dog,F,7,,true,low,false,false,true,false,false,architect robust ROI
Jerrilyn,cat,F,8,,false,low,true,true,true,false,false,transition robust solutions
Hildagarde,cat,F,9,,false,high,true,true,true,true,true,transform best-of-breed supply-chains
Billy,dog,F,10,,false,low,false,false,false,false,false,repurpose integrated markets
Stanley,dog,M,13,,false,high,false,true,false,false,true,iterate ubiquitous bandwidth
Lanni,cat,F,5,,false,low,false,true,true,true,false,syndicate impactful bandwidth
